Temperature (°C),1,5,10,20,40,60,80,100,120,150,200
-30,0.012897072521346727,0.013188521961890663,0.013669653191671008,116.9046225649727,0.102803088416552,0.1382124136612919,0.14046506322227473,0.14262130677711798,0.14469363394250478,0.14766610261559135,0.15231837103545215
-10,0.014346295290677285,0.01460965768855951,0.015009904927689237,0.01619625389123789,0.04490081978216561,0.11358448317867847,0.1167461089971339,0.11963719723835539,0.12232139423937134,0.12604723781165791,0.13166069359642082
0,0.015087197582475462,0.015339517376082997,0.015712407008740437,0.016741278500653947,0.023530174479867452,0.09716091166848032,0.10449893224118802,0.1080502240586607,0.11123055381706103,0.11551362052941283,0.12176918863898815
10,0.015837520127077197,0.016080192369606675,0.01643085507681856,0.017349008759263616,0.021201453373222413,0.048902759708407156,0.09144636367638939,0.09614719589101614,0.10008613577711119,0.10513625794201521,0.11218794501138943
20,0.01659630442289889,0.01683043831145282,0.01716258025587549,0.017998105773117064,0.0209708499720707,0.0312901996216189,0.07703249215280207,0.08356513884570253,0.08874488509875095,0.09489714763103742,0.1029479785958617
30,0.017362673809983395,0.017589170756326575,0.01790556518880376,0.018676690173688358,0.021138674728617815,0.026834646864407685,0.05233634671915651,0.0705995540049272,0.07711853272277353,0.08478487518001705,0.09408504128470944
40,0.0181358236668596,0.018355429910036736,0.01865821394672871,0.019377469929001242,0.021502850213724937,0.02552178162350696,0.03501357411496144,0.05625107745672962,0.06580201748032719,0.07495650648419648,0.08566412748917475
50,0.01891501346084341,0.019128356512183555,0.01941921777955868,0.02009560955067732,0.021981077063290798,0.025122800531709486,0.03090497726494015,0.04213604950936823,0.05506070812959212,0.0658446493802245,0.07781149634192694
75,0.020885057056308498,0.021084924131342157,0.02135141262317373,0.021946668634047248,0.023450007706207466,0.02554472373770932,0.02847844217592843,0.032810949396531355,0.03865210170578424,0.048491516097795416,0.06164232472804023
100,0.022879379463526684,0.02306814369936743,0.02331568865623088,0.023853005414386112,0.025127267678041017,0.026740108801583014,0.028743813196918475,0.031357335753088474,0.03463171295232883,0.040610681002925086,0.05128037835338916
